id,lat,lng,"type","title"
253374,-0.950767,100.362,"","Balai Kota Padang"
348452,47.1,39.4167,"city","Azov"
271497,-18.55,146.496,"landmark","Pulau Pelorus"
271679,-11.191,143.039,"landmark","Pulau Aplin (Queensland)"
348524,18.9333,96.4333,"city","Taungoo"
461211,46.35,30.2333,"city","Sungai Dniester"
527903,-30.749,121.466,"city","Kalgoorlie"
271682,-11.011,142.988,"landmark","Kepulauan Arnold (Queensland)"
461505,-7.59218,112.101,"","Stasiun Cepu"
399690,48.4192,3.09472,"","Châtenay-sur-Seine"
527907,-29.0667,167.967,"city","Kingston, Pulau Norfolk"
408681,48.4406,3.165,"","Vimpelles"
271683,-12.242,143.212,"landmark","Pulau Baird (Queensland)"
461514,-7.10226,112.222,"","Stasiun Gembong"
271687,-12.241,143.2,"landmark","Pulau Beesley (Queensland)"
322130,47.4736,-0.554167,"city","Angers"
461526,-7.75667,110.501,"","Stasiun Brambanan"
254373,40.1597,44.3366,"landmark","Zvartnots"
271688,-12.258,143.235,"landmark","Pulau Fisher (Queensland)"
461548,-7.79086,110.325,"","Stasiun Patukan"
528217,-1.863,128.157,"","Gempa bumi Kepulauan Obi April 2010"
271694,-11.9667,143.25,"landmark","Tanjung Grenville"
322137,45.7667,4.88028,"city","Villeurbanne"
462203,40,127,"","Geografi Korea Utara"
528303,53.87,-1.681,"","Aireborough"
271704,-14.346,144.653,"landmark","Pulau Barrow (Queensland)"
399755,48.2342,2.62694,"","Châtenoy, Seine-et-Marne"
408690,49.0114,2.73528,"","Vinantes"
254409,48.4167,11.6,"city","Allershausen"
348661,32.9986,-87.6261,"city","Moundville, Alabama"
348661,32.9985,-87.626,"city","Moundville, Alabama"
271706,-14.432,144.886,"landmark","Pulau Beanley (Queensland)"
322594,48.8172,7.78861,"city","Haguenau"
271708,-11.79,143.083,"landmark","Kepulauan Bird (Queensland)"
462289,24.4528,54.392,"landmark","Stadion Al Jazira Mohammed Bin Zayed"
528311,53.905,-1.687,"city","Otley"
271709,-14.213,144.223,"landmark","Pulau Blackwood"
322599,48.1394,7.26139,"city","Kaysersberg"
254411,48.5,11.7667,"city","Attenkirchen"
271713,-14.228,144.266,"landmark","Pulau Denham (Queensland)"
408691,49.0797,2.96417,"","Vincy-Manœuvre"
399756,48.5308,2.83611,"","Châtillon-la-Borde"
271717,-14.18,144.26,"landmark","Pulau Flinders (Queensland)"
322601,48.0419,7.13472,"city","Munster, Haut-Rhin"
272352,55.7641,37.7016,"","Terowongan Lefortovo"
348662,32.5947,-87.5356,"city","Newbern, Alabama"
348662,32.5948,-87.5354,"city","Newbern, Alabama"
254412,48.5575,11.7417,"city","Au in der Hallertau"
322613,48.4631,7.48278,"city","Obernai"
528533,-0.77,127.72,"mountain","Bukit Bibinoi"
408692,48.6914,3.00528,"","Voinsles"
399759,48.7117,2.81,"","Châtres, Seine-et-Marne"
348663,32.4968,-87.7161,"","Gallion, Alabama"
254413,48.3,11.6167,"city","Eching, Freising"
