id,lat,lng,"type","title"
86797,48.41,-3.95,"","Commana"
68951,45.6167,11.0333,"","Bosco Chiesanuova"
71598,45.6167,11.1333,"","Selva di Progno"
73328,45.6,11.1,"","Velo Veronese"
70766,45.6,11.0667,"","Roverè Veronese"
68551,45.5667,11.15,"","Badia Calavena"
108611,42.6181,2.42278,"","Prades (Pyrénées-Orientales)"
94496,48.5556,4.75361,"","Giffaumont-Champaubert"
95028,49.1417,4.36,"","Mourmelon-le-Grand"
51013,48.0167,16.25,"","Pfaffstätten"
50501,47.7833,14.9667,"","Treglwang"
95029,49.1306,4.31028,"","Mourmelon-le-Petit"
6568,48.2086,16.3719,"","Wien"
51014,47.9,16.3833,"","Pottendorf"
50502,47.4833,14.4833,"","Trieben"
95030,49.0153,3.92278,"","Moussy (Marne)"
50503,47.1167,14.2333,"","Triebendorf"
51016,48,16.5167,"","Reisenberg"
6571,47.0667,15.4333,"","Graz"
95031,49.0014,-1.11694,"","Moyon"
51017,47.9167,16.25,"","Schönau an der Triesting"
50504,47.4167,15,"","Trofaiach"
95032,47.3583,-0.550556,"","Mozé-sur-Louet"
6572,48.3,14.2833,"","Linz"
51018,47.9667,16.5167,"","Seibersdorf"
95033,49.2747,3.89167,"","Muizon"
50505,46.8167,15.8167,"","Trössing"
6574,47.2667,11.4,"","Innsbruck"
51019,47.9833,16.2,"","Sooß"
95034,49.1217,-1.47806,"","Muneville-le-Bingard"
50506,47.2667,15.45,"","Tulwitz"
95035,48.9342,-1.48944,"","Muneville-sur-Mer"
6576,48.15,14.0167,"","Wels"
51020,47.95,16.3,"","Tattendorf"
50507,47.55,15.3333,"","Turnau"
95036,49.0672,4.02694,"","Mutigny"
6577,46.6167,13.85,"","Villach"
51021,47.95,16.2667,"","Teesdorf"
50508,47.3,15.4,"","Tyrnau"
95037,48.7281,3.67889,"","Mœurs-Verdey"
6578,48.2,15.6167,"","Sankt Pölten"
51022,48.0167,16.2833,"","Traiskirchen"
95038,49.2789,-1.29806,"","Méautis"
50509,47.0667,15.65,"","Ungerdorf"
95039,48.8667,3.50917,"","Mécringes"
51023,47.9833,16.3333,"","Trumau"
50510,46.85,15.7667,"","Unterauersbach"
95040,47.4956,0.12,"","Méon"
51024,47.9667,16.0333,"","Weißenbach an der Triesting"
50511,46.8,15.3,"","Unterbergla"
51025,47.9167,16.55,"","Au am Leithaberge"
6579,47.4167,9.75,"","Dornbirn"
50512,47.1667,15.65,"","Unterfladnitz"
95041,49.2264,3.86194,"","Méry-Prémecy"
50513,46.9833,16.05,"","Unterlamm"
95042,47.3961,-0.551667,"","Mûrs-Erigné"
51026,48.1333,16.9,"","Bad Deutsch-Altenburg"
