id,lat,lng,"type","title"
430770,54.0167,23.9667,"city","Druskininkai"
430767,54.0167,23.9667,"city","Druskininkai"
430770,54.7289,25.3903,"adm3rd","Anatalkanis"
430767,54.7289,25.3903,"adm3rd","Anatalkanis"
408212,57.7833,108.1,"city","Kirensk"
371505,55.3695,12.4156,"landmark","Bøgeskov Havn"
416991,45.5162,-122.673,"landmark","Mill Ends Park"
39313,56.4056,10.8864,"landmark","IT-College Denmark"
225478,50.8,6.48333,"city","Düren"
36132,-33.45,-70.6667,"city","Santiago de Chile"
4,55.4916,8.44733,"landmark","Aalborg Universitet Esbjerg"
34619,55.6512,12.265,"adm2nd","Høje-Taastrup Kommune"
59753,54.65,8.35,"isle","Amrum"
34755,55.6597,12.5911,"landmark","IT-Universitetet i København"
34902,-13.1631,-72.5456,"landmark","Machu Picchu"
34922,54.9639,11.8822,"landmark","Storstrømsbroen"
85362,54.9841,12.2841,"landmark","Stege Kirke"
59756,54.3667,9.06667,"city","Frederiksstad"
35100,50.7167,4.38333,"city","Waterloo (Belgien)"
85368,36.1667,44.0167,"city","Arbil"
92,56,9,"isle","Jylland"
85377,53.22,-4.2,"city","Llanfairpwllgwyngyllgogerychwyrndrobwllllantysiliogogogoch"
97,55.6832,12.6044,"landmark","Jubii"
85415,57.4381,10.4056,"landmark","Åsted Kirke (Frederikshavn Kommune)"
59761,54.7667,9.31667,"city","Hanved"
59768,54.8419,9.02639,"city","Ladelund"
59787,57.0426,9.90569,"landmark","KUNSTEN Museum of Modern Art Aalborg"
59788,57.0481,9.91803,"landmark","Aalborg Historiske Museum"
35502,55.9344,12.3006,"landmark","Frederiksborg Slot"
59789,57.0481,9.91803,"landmark","Nordjyllands Historiske Museum"
59810,55.6789,12.5741,"landmark","Jorcks Passage"
85456,55.6811,12.6056,"landmark","Den Danske Filmskole"
35522,56.7,11.5667,"isle","Anholt"
59811,55.6827,12.5876,"landmark","Sankt Annæ Passage"
35613,55.8109,12.4735,"landmark","Holte"
35615,55.8102,12.4684,"landmark","Holte Havn"
35617,55.8117,12.4717,"landmark","Holte Midtpunkt"
59812,54.4131,9.97972,"city","Gettorp"
59816,54.7167,8.5,"isle","Før"
85506,55.6862,12.5906,"landmark","Østre Landsret"
59818,54.9167,8.33333,"isle","Sild (ø)"
35697,55.8078,12.4642,"waterbody","Vejlesø"
59863,54.8667,8.91667,"city","Sønder Løgum"
36001,56.3847,10.17,"landmark","Clausholm"
59880,12.05,-61.75,"city","Saint George's"
59884,12.15,-86.2667,"city","Managua"
59899,38.2458,15.6325,"waterbody","Messinastrædet"
36002,51.4853,-3.18667,"city","Cardiff"
85658,54.9397,12.2151,"landmark","Damsholte Kirke"
36055,45.9203,63.3422,"","Bajkonur-kosmodromen"
59936,54.5167,8.65,"isle","Pelvorm"
85665,54.9843,12.4842,"landmark","Magleby Kirke (Vordingborg Kommune)"
59939,54.4981,8.87694,"isle","Nordstrand"
59941,54.4667,8.71667,"city","Rungholt"
60080,55.3804,8.64439,"","Kongeå"
60133,64.2971,-16.7212,"landmark","Vatnajökull"
60155,56.4516,9.41222,"landmark","Vestre Landsret"
36277,7.36056,134.479,"city","Koror"
36464,51.8667,12.65,"city","Wittenberg"
36610,55.7542,37.62,"landmark","Den Røde Plads"
60286,54.7972,9.37639,"city","Harreslev"
85795,55.6747,12.5368,"landmark","Den Franske Skole"
36780,68.8019,16.5367,"","Harstad"
86019,54.5833,11.3333,"waterbody","Femern Bælt"
36820,55.7019,12.5611,"landmark","Datalogisk Institut (Københavns Universitet)"
86105,55.7457,12.5451,"landmark","Aurehøj Gymnasium"
37078,56.8317,9.02417,"isle","Fur"
86122,57.4406,10.5383,"landmark","Frederikshavn Kirke"
37128,55.3224,10.7952,"landmark","Nyborg Gymnasium"
60358,53.9,11.4667,"city","Wismar"
60367,38.9975,-77.2525,"waterbody","Great Falls"
37222,78.2167,15.55,"isle","Svalbard"
60426,56.9921,10.0007,"landmark","Gistrup Skole"
60486,55.6874,12.577,"landmark","Geologisk Museum"
163,55.4912,8.44952,"landmark","Syddansk Universitet Esbjerg"
60488,55.6755,12.5316,"landmark","Det Danske Revymuseum"
86169,25.7206,32.6103,"city","Theben (Egypten)"
60490,54.9503,11.9914,"isle","Farø"
60492,54.9542,12.045,"isle","Lilleø (Storstrømmen)"
37274,49.45,11.0833,"city","Nürnberg"
86176,54.9833,12.5222,"waterbody","Hunesø"
60496,54.9542,12.0833,"isle","Tærø"
86183,48.8928,2.23583,"landmark","Grande Arche"
60504,78.0667,14.2167,"city","Barentsburg"
60562,38.1167,13.3667,"city","Palermo"
60701,56.1744,9.66167,"landmark","Jyllandsringen"
37361,55.6728,12.5722,"landmark","Ny Carlsberg Glyptotek"
60899,55.5139,9.46006,"landmark","Kolding Storcenter"
61036,54.911,9.78386,"landmark","Kong Christian den X's Bro"
61088,55.0069,12.2222,"isle","Lindholm (Stege Bugt)"
37375,31,-100,"country","Texas"
61091,55,12.25,"waterbody","Stege Bugt"
37458,55.4997,9.53208,"landmark","Trapholt (kunstmuseum)"
61093,54.9833,12.1167,"isle","Langø (Ulvsund)"
61142,55.6578,12.4944,"landmark","Valby Gasværk"
37492,54.4333,18.55,"city","Sopot"
37495,54.4333,18.55,"city","Trójmiasto"
216,51.6667,6.45,"city","Xanten"
86470,55.4861,9.4665,"landmark","Sct. Michaels Kirke, Kolding"
37688,33,-87,"country","Alabama"
86511,55.7926,12.5276,"landmark","Hempel"
86541,55.7016,12.5376,"landmark","Lygten Station"
61457,36.4,25.4,"isle","Santorini"
61504,55.074,14.8149,"landmark","Nylars Kirke"
86547,48.5667,13.4667,"city","Passau"
61579,55.2152,14.7502,"landmark","Ruts Kirke"
37866,43.2,44.5667,"","Beslan"
37938,56.1458,10.1125,"waterbody","Brabrand Sø"
61741,55.6996,12.5553,"landmark","Rigshospitalets Kollegium"
61744,55.6669,12.6033,"landmark","Øresundskollegiet"
61925,54.9958,11.8917,"waterbody","Masnedsund"
62095,55.6133,12.9764,"landmark","Turning Torso"
62198,55.6733,12.5748,"landmark","Radikal Ungdom"
62211,54.9667,10.4167,"isle","Drejø"
38093,50.5508,9.67528,"city","Fulda"
62233,51.349,-0.8,"landmark","Sandhurst"
38241,57.2562,10.9996,"landmark","Læsø Kommune"
86873,55.7984,11.5542,"landmark","Grevinge Kirke"
62236,-6.13333,39.3167,"","Zanzibar"
86875,55.8099,11.4985,"landmark","Asnæs Kirke"
62264,55.0042,10.4672,"isle","Skarø"
62265,54.9625,10.4833,"isle","Hjortø"
86915,55.4725,10.3297,"airport","Odense Lufthavn"
62267,55.6824,12.5921,"landmark","Casino (teater)"
38281,54.8336,9.55,"city","Lyksborg"
87010,35.7667,-5.8,"","Tanger"
62269,55.0167,10.2833,"isle","Avernakø"
62273,55.0625,10.25,"isle","Bjørnø"
62834,55.6703,12.5786,"landmark","Langebro"
87161,55.6755,12.5611,"landmark","Imperial"
38519,43.5525,7.02167,"city","Cannes"
63083,12.8,45.0333,"landmark","Aden"
87192,35.2167,-114.017,"city","Kingman"
63100,55.7754,12.4646,"landmark","Marienborg"
63134,55.6735,12.581,"landmark","Istedløven"
87194,34.86,-111.789,"city","Sedona"
402,56.0525,9.74956,"landmark","Øm Kloster"
87195,31.5456,-110.276,"city","Sierra Vista"
403,56.0518,9.74958,"landmark","Øm Kloster museum"
87199,57.4706,10.4094,"landmark","Kvissel Kirke"
420,55.6869,12.5759,"landmark","Østervold (observatorium)"
63210,56.1806,9.37222,"waterbody","Bølling Sø"
87215,56.4789,10.795,"landmark","Rimsø Præstegård"
63327,55.1189,14.8974,"landmark","Lilleborg"
87330,55.3676,10.4304,"edu","IMADA"
38707,53.2992,10.395,"city","Bardowick"
63329,57.7246,10.5972,"landmark","Skagens Museum"
38813,55.6718,12.5817,"landmark","Københavns Havn"
87399,57.4608,9.98306,"landmark","Vendsyssel Historiske Museum"
38818,55.45,10.65,"city","Kerteminde"
87501,57.3614,10.0027,"landmark","Vrejlev Kloster"
87505,56.2028,8.8,"landmark","Merrild"
63438,55.0944,10.2469,"landmark","Faaborg Museum"
63461,55.6842,12.5823,"landmark","Davids Samling"
87545,55.425,10.35,"city","Næsby (Odense)"
63507,54.7817,9.54361,"landmark","Lyksborg Slot"
574,55.1333,10.1,"isle","Illum (ø)"
87743,55.5544,11.3144,"landmark","Sæbygård (Sæby Sogn)"
38906,46,-94,"country","Minnesota"
87800,57.4833,10.6167,"isle","Hirsholmene"
63581,55.5097,8.26167,"","Skallingen"
87868,57.5378,10.0942,"landmark","Odden (hovedgård)"
38916,39,-75.5,"country","Delaware"
87950,56.955,8.53306,"landmark","Sjørring Sø"
63783,48.9742,14.4744,"city","České Budějovice"
63809,55.4883,8.49144,"landmark","Esbjerg Gymnasium og HF"
804,55.6728,12.5214,"landmark","København Zoo"
63886,62.2,-6.54167,"waterbody","Borðoyarvík"
810,56.65,8.61667,"isle","Jegindø"
87966,55.6755,12.5719,"landmark","Vartov"
843,55.7,13.2,"city","Lund (Sverige)"
88081,55.3264,8.76043,"landmark","Ribe Katedralskole"
38917,40,-89,"country","Illinois"
63947,55.3851,10.3693,"landmark","Odense Universitetshospital"
88293,56.0231,9.64214,"landmark","Sønder Vissing Kirke"
63970,62.391,-6.56305,"landmark","Kap Enniberg"
88348,55.6486,12.6397,"isle","Kastrup Fort"
63987,62.3178,-6.46,"waterbody","Viðvík"
88407,55.7503,12.5806,"landmark","Charlottenlund Slot"
38924,40,-86,"country","Indiana"
64127,55.6775,12.5676,"landmark","Hotel Hafnia (København)"
64147,55.6928,12.5642,"landmark","Det Sundhedsvidenskabelige Fakultet (Københavns Universitet)"
878,56.7333,16.6667,"isle","Öland"
64201,55.4296,11.5565,"landmark","Sorø Akademi"
881,55.7388,12.5729,"landmark","Øregaard Museum"
64210,55.0256,8.57056,"isle","Jordsand"
88709,68.7333,-52.3167,"","Akunnaaq"
38966,31,-92,"country","Louisiana (stat)"
64375,54.62,8.96444,"city","Bredsted"
38980,33,-90,"country","Mississippi"
88724,69.4833,-53.9667,"city","Kangerluk"
64799,55.7262,12.4763,"landmark","TV-Byen"
64820,55.7917,12.3917,"forest","Nørreskoven (Værløse)"
970,55.7206,12.6658,"isle","Middelgrundsfortet"
38990,41.5,-100,"state","Nebraska"
64897,55.3333,10.9667,"isle","Sprogø"
981,55.9826,12.3953,"landmark","Fredensborg Slot"
88797,52.9233,9.235,"city","Verden (Aller)"
987,55.6928,12.5992,"landmark","Den lille Havfrue"
88829,55.7031,12.6144,"isle","Trekroner (ø)"
88833,55.7036,12.7314,"isle","Flakfortet"
65018,55.2833,8.56667,"isle","Mandø"
1160,55.6375,10.1792,"isle","Æbelø"
1161,57,11,"waterbody","Kattegat"
65116,55.6886,12.5783,"landmark","Statens Museum for Kunst"
39058,34,-106,"country","New Mexico"
65118,55.6745,12.532,"landmark","Storm P.-Museet"
1162,55.6222,10.1814,"isle","Brådet"
1163,55.6028,10.1733,"isle","Dræet"
1164,55.6097,10.1833,"isle","Æbeløholm"
88880,46.7833,-56.2,"isle","Saint-Pierre og Miquelon"
1168,55.3333,10.3333,"isle","Fyn"
65122,55.6767,12.5783,"landmark","Thorvaldsens Museum"
65255,53.0333,18.6167,"","Toruń"
1370,54.9833,12.35,"isle","Møn"
65718,38.4833,43.3667,"landmark","Van"
89031,55.6069,12.8,"isle","Svaneklapperne"
65885,62.2881,-6.96722,"city","Funningur"
89044,55.5622,12.5667,"landmark","Kongelundsfortet"
1547,32.5364,44.4208,"city","Babylon"
65896,56.05,12.2,"landmark","Valby (Gribskov Kommune)"
65920,55.675,12.5331,"landmark","Camp X Aveny"
1718,56.9954,9.25486,"landmark","Aggersborg"
65968,56.1564,10.2125,"landmark","Aarhus Katedralskole"
65979,56.4259,10.5506,"landmark","Djurs Sommerland"
65980,55.6789,12.5795,"landmark","Strøget"
66267,42.6931,27.7083,"city","Sunny Beach"
66394,55.6747,12.5872,"","Knippelsbro"
89389,3.15727,101.712,"landmark","Petronas Towers"
66513,55.3665,10.3732,"city","Dalum"
66530,55.7306,12.5733,"landmark","Gammel Hellerup Gymnasium"
66582,54.9917,15.0742,"landmark","Dueodde"
89499,55.4833,11.7667,"city","Haraldsted"
66688,36.1952,-115.114,"landmark","North Las Vegas"
66965,55.6139,12.5111,"landmark","Kalvebodbroerne"
89904,36.1667,28,"isle","Rhodos"
39082,34,-81,"country","South Carolina"
89927,55.6687,12.5011,"landmark","Akacieparken (Valby)"
67300,55.6167,8.48333,"city","Varde"
89962,37.7333,26.8333,"isle","Samos"
90008,56.1587,10.212,"landmark","Danske Skoleelever"
67331,55.7025,12.559,"landmark","Zoologisk Museum"
90262,55.1572,10.7628,"landmark","Hesselagergård"
39086,36,-86,"country","Tennessee"
90372,54.9404,12.2082,"landmark","Marienborg (Møn)"
1967,62,-7,"country","Færøerne"
39179,32.715,-117.162,"","San Diego"
39240,55.3827,14.054,"landmark","Ales sten"
90373,13.4125,103.867,"landmark","Angkor Wat"
39252,55,9.88333,"isle","Als"
2605,51.2167,4.4,"city","Antwerpen"
2805,55.9833,12.1167,"waterbody","Arresø"
39319,55.5833,12.6667,"city","Dragør"
90421,55.2317,11.7675,"landmark","Næstved Station"
39323,55.5008,14.2308,"landmark","Glimmingehus"
67718,55.7096,12.5145,"landmark","HF-Centret Efterslægten"
67980,56.1128,9.73194,"landmark","Alling Sogn"
39371,58.3636,-134.573,"landmark","Juneau"
68119,55.0794,10.3431,"landmark","Åstrup Sogn (Faaborg-Midtfyn Kommune)"
68138,55.5242,9.4776,"","Bramdrup Sogn"
3138,51.5233,-0.158333,"landmark","Baker Street"
68211,55.1058,10.2942,"landmark","Diernæs Sogn"
90524,51.8167,12.4667,"city","Riesigk"
68225,55.2258,10.0372,"landmark","Dreslette Sogn"
90547,56.7056,9.71111,"landmark","Rørbæk Kirke"
39622,35.6833,-105.95,"city","Santa Fe (New Mexico)"
68426,55.8074,12.4328,"landmark","Næsseslottet"
90581,56.087,10.2263,"landmark","Moesgård Museum"
68454,56.23,9.74028,"landmark","Gjern Sogn"
39630,41.8333,-71.4,"city","Providence"
90582,55.9642,9.59806,"landmark","Ring Sø"
68521,55.531,8.39894,"landmark","Guldager Sogn"
68554,56.2554,9.86278,"landmark","Hammel Sogn"
90663,50.845,4.35,"city","Manneken Pis"
68617,55.285,10.5728,"landmark","Hellerup Sogn (Faaborg-Midtfyn Kommune)"
90670,55.6802,12.5907,"landmark","Bådteatret"
39747,51.5081,-0.128056,"landmark","Trafalgar Square"
90689,50.9333,5.33333,"city","Hasselt"
39749,55.6955,12.5815,"landmark","Unitarisk Kirkesamfund"
68823,56.2788,9.82497,"landmark","Sall Kirke"
68836,55.7472,12.5216,"landmark","Vangede Kirke"
68843,55.7061,9.21389,"city","Vandel"
