id,lat,lng,"type","title"
185275,68.7556,16.5694,"","Holtet (Harstad)"
326095,63.9375,11.4239,"","Mære"
651607,48.875,154.175,"","Sinarka"
470923,43.4833,44.1333,"","Terek (Russland)"
456391,63.7833,74.5167,"","Muravlenko"
456411,65.5333,72.5167,"","Nadym"
456449,63.2,75.45,"","Nojabrsk"
456463,59.5238,11.2653,"landmark","Kirkefjerdingen skole"
456551,56.2667,62.9167,"","Dalmatovo"
456556,55.2333,63.2833,"","Sjumikha"
456653,60.3836,5.31667,"","Mal:Infoboks bro"
456653,69.6519,18.9758,"","Mal:Infoboks bro"
456793,48.3956,15.5203,"","Dürnstein"
456822,59.9369,10.667,"","Montebello (Oslo)"
456908,53.5833,34.3333,"","Djatkovo"
456942,52.5833,32.7667,"","Starodub"
456954,52.4267,31.7378,"","Zlynka"
9646,59.4432,18.0668,"city","Täby"
9648,59.5192,17.9067,"city","Upplands Väsby"
9649,59.5344,18.0767,"city","Vallentuna"
9650,59.4025,18.3533,"city","Vaxholm"
456977,46.6667,12.2167,"","Höhlensteintal"
456990,49,131.05,"","Oblutsje"
9653,59.0561,16.59,"city","Flen"
9654,59.0455,17.3117,"city","Gnesta"
9655,58.9951,16.2069,"city","Katrineholm"
9656,58.7543,17.0048,"city","Nyköping"
9657,59.3689,16.509,"city","Eskilstuna"
9658,58.6705,17.0947,"city","Oxelösund"
9659,59.3748,17.0267,"city","Strängnäs"
9660,58.8961,17.5494,"city","Trosa"
9661,59.04,15.8711,"city","Vingåker"
9662,59.6355,17.0824,"city","Enköping"
457000,52.0786,-1.01694,"","Storbritannias Grand Prix 2007"
457037,52.5333,33.7333,"","Zjukovka"
457040,52.5333,31.9333,"","Novozybkov"
457047,53.3667,44.1,"","Seltso"
457055,52.9344,33.4606,"","Potsjep"
9664,59.7249,17.7958,"city","Knivsta"
9665,60.3453,17.5191,"city","Tierp"
457064,52.15,34.5,"","Sevsk"
9666,59.8576,17.6434,"city","Uppsala"
457087,53.1167,34.9833,"","Karatsjev"
457089,52.8461,32.6767,"","Unetsja"
457091,52.7667,32.2333,"","Klintsy"
457092,51.5775,-1.56667,"","Den hvite hesten fra Uffington"
457096,52.5333,33.7667,"","Trubtsjevsk"
457098,53.0158,32.3944,"","Surazj"
457101,53.0594,32.8444,"","Mglin"
457124,42.3725,-87.8614,"","Waukegan"
457147,59.9334,10.858,"landmark","Liste over gravlunder i Oslo"
457147,59.885,10.788,"landmark","Liste over gravlunder i Oslo"
457147,59.9064,10.7362,"landmark","Liste over gravlunder i Oslo"
457147,59.9237,10.7476,"landmark","Liste over gravlunder i Oslo"
457147,59.904,10.7712,"landmark","Liste over gravlunder i Oslo"
457147,59.9553,10.7749,"landmark","Liste over gravlunder i Oslo"
457147,59.9574,10.8833,"landmark","Liste over gravlunder i Oslo"
457147,59.9419,10.913,"landmark","Liste over gravlunder i Oslo"
457147,59.8305,10.8494,"landmark","Liste over gravlunder i Oslo"
457147,59.9167,10.7472,"landmark","Liste over gravlunder i Oslo"
457147,59.9389,10.7479,"landmark","Liste over gravlunder i Oslo"
457147,59.8591,10.8033,"landmark","Liste over gravlunder i Oslo"
457147,59.9478,10.7015,"landmark","Liste over gravlunder i Oslo"
457147,60.0156,10.6161,"landmark","Liste over gravlunder i Oslo"
457147,59.9261,10.6534,"landmark","Liste over gravlunder i Oslo"
457147,59.9363,10.729,"landmark","Liste over gravlunder i Oslo"
457147,59.9315,10.6972,"landmark","Liste over gravlunder i Oslo"
457147,59.955,10.6478,"landmark","Liste over gravlunder i Oslo"
457147,59.9213,10.744,"landmark","Liste over gravlunder i Oslo"
457147,59.9204,10.8198,"landmark","Liste over gravlunder i Oslo"
457147,59.9138,10.8075,"landmark","Liste over gravlunder i Oslo"
9668,60.2603,18.3664,"city","Östhammar"
9669,59.6584,12.5835,"city","Arvika"
457429,59.2389,10.4639,"","Husøy (Tønsberg)"
457496,48.2097,16.3669,"landmark","Palais Esterházy"
457501,47.8486,16.5208,"landmark","Schloss Esterházy (Eisenstadt)"
457554,47.8092,9.64478,"landmark","Weingarten kloster"
457558,46.9292,10.4869,"","Finstermünz"
457571,47.1266,8.75187,"landmark","Einsiedeln kloster"
9672,59.526,13.4768,"city","Forshaga"
9673,59.3472,13.1053,"city","Grums"
9674,60.0237,13.6766,"city","Hagfors"
457646,59.7001,10.5939,"waterbody","Bruker:KjellG/Verktøy"
457646,59.7039,10.5937,"waterbody","Bruker:KjellG/Verktøy"
457676,56.3,62.5667,"","Katajsk"
457684,55.2167,62.7667,"","Sjtsjutsje"
457685,54.9,64.4333,"","Kurtamysj"
21017,33.12,35.1342,"","Naqoura"
457689,55.2,67.25,"","Makusjino"
9676,59.3787,13.4981,"city","Karlstad"
457693,55.0667,67.8833,"","Petukhovo"
9677,59.5072,13.3147,"city","Kil (Värmland)"
