id,lat,lng,"type","title"
3877,64.1333,-21.9333,"country","آيسلندا"
673465,31.1583,52.65,"city","آباده"
8437,41.0086,28.98,"landmark","آيا صوفيا"
407105,27.148,54.8344,"city","آب معدني كمشك"
1100323,35.9058,36.8075,"city","آفس"
88144,31.0472,-7.12889,"","آيت بن حدو"
1189568,42.3,14.2667,"city","آري (أبروتسو)"
1189569,42.0833,14.3833,"","آركي"
1190955,31.5833,-5.58333,"","آيت باها"
352543,27.148,54.8344,"city","آسو"
1182142,38.0333,15.4167,"city","آلي"
1182150,38,15.4167,"city","آلي تيرمي"
170556,38.3667,34.0333,"city","آق سراي"
926539,27.148,54.8344,"city","آل غلومي"
848014,27.0867,54.4906,"city","آوين سفلى"
848128,27.0867,54.4906,"city","آوین علیا"
1186807,42.0817,13.5914,"","آييلي"
1207278,29.5306,34.9983,"","آيلة"
1007567,37.6,15.1167,"city","آتشي بوناكورسي"
1008086,37.6,15.1167,"city","آتشي سانت أنتونيو"
1008771,37.55,15.15,"","آتشي كاستيلو"
1008772,37.6,15.1333,"city","آتشي كاتينا"
346014,52.1053,6.06333,"","آربيك"
456693,30.3372,-9.49556,"city","آيت ملول"
351103,33.7844,-5.03083,"city","آيت سبع لجروف"
538460,33.3953,-3.58139,"","آيت المان"
538463,33.3953,-3.58139,"","آيت بازا"
662036,52.2,5.95,"","آبلدورن"
771685,32.76,-5.72333,"city","آيت إسحاق"
269885,33.7833,11.0108,"","آركو"
262715,55,57.45,"","آشا"
262720,47.1833,39.6833,"","آزوف"
1236108,45.6833,8,"city","آيلوكي"
346113,13.3333,32.6167,"isle","آبا"
1023870,52.4167,-4.06667,"city","آبريستويث"
424923,40.5833,-5,"adm2nd","آبلة (مقاطعة)"
714225,6.86667,73,"","آتول ها ألف"
713373,4.175,73.5089,"","آتولات الملديف"
45842,31.5833,36.3333,"","آثار عين غزال"
755998,36.6833,4.66667,"city","آدكار"
49249,42,-93,"adm1st","آيوا"
32991,9.33333,12.5,"adm1st","آدماوة"
24956,41.7319,-49.9458,"event","آر إم إس تيتانيك"
230208,33.7531,-118.19,"landmark","آر إم إس كوين ماري"
273019,34.08,49.7,"","آراك"
902366,44.6667,60.6667,"","آرالكوم"
344281,52.3662,4.91595,"landmark","آرتيس"
714961,10.5,40.5,"","آردي"
554679,51.25,8.33,"","آرنسبيرغ (منطقة)"
611123,56.1572,10.2107,"city","آرهوس"
350157,35.25,6.35,"city","آريس"
51485,32.2833,-9.23333,"","آسفي"
262715,54.9833,57.2833,"city","آشا"
210811,39.5458,-91.1711,"city","آشبورن، ميزوري"
209456,35.7153,-79.8131,"city","آشبورو، كارولاينا الشمالية"
10831,35.4567,43.2625,"","آشور (إله)"
10830,35.4567,43.2625,"","آشور (مدينة)"
747467,24.0883,32.8787,"","آغا خان الثالث"
755958,36.4667,4.51667,"city","آغرام"
170556,38.3742,34.0289,"city","آق سراي"
170554,38.4308,33.8622,"adm1st","آق سراي (محافظة)"
955297,57.05,9.91667,"city","آلبورغ"
