id,lat,lng,"type","title"
325251,-72,-183,"landmark","Ontario Lacus"
206951,52.3667,6.66667,"adm2nd","Almelo"
206979,52.25,6.78333,"adm2nd","Hengelo"
208309,52.5167,6.41667,"adm2nd","Ommen"
208485,52.3833,6.28333,"adm2nd","Raalte"
214593,55.7522,37.6156,"","Moskvo"
214594,55.7522,37.6156,"","Moskvo"
125485,44.6068,4.7795,"landmark","Preĝejo Notre-Dame-la-Blanche en Savasse"
298377,81.3,-110.8,"","Norda magneta poluso 2001"
298377,82.7,-114.4,"","Norda magneta poluso 2001"
298377,70.08,-96.46,"","Arkta magnetejo 1831"
298377,81.3,-110.8,"","Arkta magnetejo 2001"
298377,81.6,-111.6,"","Arkta magnetejo 2002"
298377,82,-112.4,"","Arkta magnetejo 2003"
298377,82.3,-113.4,"","Arkta magnetejo 2004"
298377,82.7,-114.4,"","Arkta magnetejo 2005"
298377,79.74,-71.78,"","Arkta geomagnetejo 2005"
148998,52.5167,6.08333,"adm2nd","Zwolle"
54296,53.8,81.3333,"","Kamenj-na-Obi"
54297,56.35,41,"","Kameŝkovo"
30818,45.6333,13.8,"","Triesto"
68325,42.3333,13.5833,"","Barisciano"
244,30.2667,-97.75,"","Aŭstino"
206421,50.8667,5.88333,"","Ransdaal"
68832,40.1833,18.0333,"","Nardò"
68326,41.75,14.0333,"","Barrea"
54299,50.0833,45.4,"","Kamiŝin"
68833,40.1,18.1167,"","Neviano"
220813,52.25,5.6,"","Putten (Gelderland)"
54300,56.85,62.7167,"","Kamiŝlov"
54301,67.1667,32.4167,"","Kandalakŝa"
137609,51.3333,7.05,"","Velbert"
54302,56.2,95.7,"","Kansk"
68834,40.8,17.1333,"","Noci"
68327,42.6,13.7333,"","Basciano"
220962,48.0667,114.5,"","Ĉoibalsan"
69344,43.8667,12.6667,"","Saludecio"
241205,52.05,5.58333,"","Utrechtse Heuvelrug (komunumo)"
54303,56.3167,38.7,"","Karabanovo"
70003,37.9833,15.7667,"","Montebello Ionico"
439,42.8833,-78.8833,"","Bufalo"
206576,50.8833,5.91667,"","Voerendaal"
54304,55.4833,60.2,"","Karabaŝ"
70619,40.7333,14.6167,"","Pagani"
68835,40.0333,18.3333,"","Nociglia"
54305,43.3,44.9,"","Karabulak"
68328,42.75,13.8,"","Bellante"
69345,44.2167,11.2333,"","San Benedetto Val di Sambro"
54307,53.7333,78.0333,"","Karasuk (urbo)"
70004,40.05,16.5333,"","Montegiordano"
71124,41.95,13.0167,"","Rocca Canterano"
54308,53.1167,34.9833,"","Karaĉev"
163363,10.65,-71.6,"","Marakajbo (lago)"
123659,-3.9,-32.4167,"","Fernando de Noronha"
68836,41.0333,16.9833,"","Noicattaro"
70620,41.25,14.8667,"","Pago Veiano"
286875,58.65,14.3333,"","Viken"
54309,55.2,80.2833,"","Kargat"
69346,44.5667,11.0333,"","San Cesario sul Panaro"
68329,41.9167,13.75,"","Bisegna"
544,-21.45,39.75,"","Bassas da India"
70005,38.7167,16.5,"","Montepaone"
163364,30.5567,-98.2563,"","Marmoraj Faloj (lago)"
71125,41.6833,12.9167,"","Rocca Massima"
68837,40.3833,18.05,"","Novoli"
70621,40.9,14.6,"","Pago del Vallo di Lauro"
54311,59.7667,60,"","Karpinsk"
68330,42.5333,13.8,"","Bisenti"
54312,53.05,60.65,"","Kartali"
241404,-5.76,-35.998,"","Caicó"
163366,29.6018,-98.0388,"","McQueeney"
54314,55.8833,60.75,"","Kasli"
298714,-6.016,-37.409,"","Janduís"
68838,41.3167,15.6333,"","Ordona"
54315,42.8833,47.6333,"","Kaspijsk"
71126,41.7833,12.7667,"","Rocca Priora"
68331,42.2167,13.9667,"","Bolognano"
70622,40.8667,14.55,"","Palma Campania"
70006,38.7167,16.2833,"","Monterosso Calabro"
69348,44.8333,11.1333,"","San Felice sul Panaro"
54332,54.75,58.2,"","Katav-Ivanovsk"
221215,-21.2333,47.2333,"","Ambalavao"
54333,56.3,62.5667,"","Katajsk"
163368,43.5,-87.5,"","Miĉigano (lago)"
54334,58.7,59.4833,"","Kaĉkanar"
68839,40.5,17.6333,"","Oria"
657,51.4833,-3.18333,"","Cardiff"
71628,45.2667,9.21667,"","Bornasco"
68332,42.0333,14.3667,"","Bomba"
54335,57.35,37.6167,"","Kaŝin"
71127,41.9167,13.0167,"","Rocca Santo Stefano"
70623,40.6667,15.3,"","Palomonte"
70007,39.85,16.1333,"","Morano Calabro"
