id,lat,lng,"type","title"
359843,51.5319,-0.178353,"landmark","ابی رود استویوز"
3280,41.3333,19.8,"country","آلبانی"
6962,42.5,1.51667,"country","آندورا"
6966,-8.83333,13.1667,"country","آنگولا"
353441,41.7167,13.4,"","آلاتری"
416736,33.415,-111.546,"city","آپاچی جانکشن، آریزونا"
451376,36.1667,51.5,"mountain","آزادکوه"
50824,43,40.9833,"country","آبخاز"
50886,41.7167,44.7833,"country","آجارستان"
534746,35.6747,139.732,"city","آکاساکا"
114572,36.5369,53.1125,"","آبندانکش"
146483,53.1,140.733,"","آمور"
218276,12.5167,-70.85,"country","آروبا"
225111,12.1167,-68.9333,"country","آنتیل هلند"
292207,28.65,-73.3167,"country","آنگویلا"
499904,35.7147,139.797,"","آساکوسا"
540941,38.7814,-107.951,"city","آستین، کلرادو"
540979,38.7424,-85.8046,"city","آستین، ایندیانا"
483402,32.7556,-99.8964,"city","آنسن، تگزاس"
238130,47.5372,4.50028,"landmark","آلزیا"
446533,64.8036,-51.0583,"","آتامیک"
13944,30.33,48.28,"","آبادان"
18800,31.18,52.67,"","آباده"
18801,30.7,49.83,"","آغاجاری"
18802,37.27,49.98,"","آستانه اشرفیه"
26364,34.55,50,"","آشتیان"
42087,38.43,48.85,"","آستارا"
91867,36.05,50.53,"","آبیک"
141809,37.09,55.16,"","آزادشهر"
509534,34.3768,47.1394,"","آبادانی و مسکن"
17358,39.95,44.55,"","آرتاشات"
58551,50.75,13.75,"","آلتنبرگ"
62615,40.2667,44.6167,"","آبوویان"
88722,41.1333,44.7667,"","آختالا"
146148,40.6167,43.9667,"","آرتیک"
179307,40.5833,44.35,"","آپاران"
201859,40.6333,45.5,"","آرتسواشن"
235854,49.4333,11.8333,"","آمبرگ"
90110,37.25,48.05,"","آقکند"
110986,32.7833,48.8167,"","آبشار شوی"
6837,52.5167,13.4,"country","آرژانتین"
429741,-6.81667,-35.75,"","آرارا"
448243,36.3333,51.4667,"","آق‌تپه (مهرشهر)"
532526,50.2167,117.1,"airport","آراباتوک"
7414,17.1167,-61.85,"country","آنتیگوا و باربودا"
6922,39.0333,32.0333,"","آنکارا"
615016,39.0586,-84.9064,"city","آرورا، ایندیانا"
3874,36.28,52.21,"","آمل"
13338,37.46,45.85,"","آذرشهر"
13944,30.21,48.17,"","آبادان"
33627,36.0667,52.8225,"","آلاشت"
42087,38.4122,48.8761,"","آستارا"
90108,39.02,47.18,"","آبش‌احمد"
90110,37.15,48.03,"","آقکند"
91983,38.2711,48.5692,"","آبی‌بیگلو"
91995,39.3492,44.1056,"","آواجیق"
122622,33.8872,58.3736,"","آیسک"
140992,37.6042,56.9119,"","آشخانه"
141142,36.9181,48.9647,"","آب‌بر"
141152,35.25,52.4961,"","آرادان"
141809,37.0831,55.0833,"","آزادشهر"
141810,37.0144,54.4572,"","آق‌قلا"
16929,31.55,51.0594,"","آلونی"
142166,35.7631,51.9656,"","آبعلی"
26364,34.525,50.0278,"","آشتیان"
331112,36.0397,51.1928,"","آسارا"
542041,-27.64,117.874,"city","آستین، استرالیای غربی"
620524,35.6958,139.785,"landmark","آساکوساباشی"
