id,lat,lng,"type","title"
78581,51.2736,30.2264,"city","Černobilj"
142218,55.0833,14.4667,"country","Čehoslovačka Socijalistička Republika"
258225,31.2367,121.503,"landmark","Šangajski svetski finansijski centar"
93749,51.5238,-0.158472,"landmark","Šerlok Holms"
31417,44.6711,22.5297,"landmark","Ђердапска клисура"
56323,42.4442,9.35056,"city","Ђокатојо"
56544,42.2175,9.36667,"city","Ђункађо"
97574,42.8833,20.2167,"mountain","Ђеравица"
97658,44.6714,21.6428,"waterbody","Ђердапско језеро"
156600,43.8667,126.55,"city","Ђилин (град)"
156600,43.867,126.573,"city","Ђилин (град)"
262788,47.3,22.8,"city","Ђуртелеку Шимлеулуј"
276201,43.9,25.9667,"city","Ђурђу"
303565,45.4,21,"city","Ђир"
308098,47.3824,19.2139,"city","Ђал"
307693,47.7833,19.9333,"city","Ђенђеш"
307703,46.65,21.2833,"city","Ђула"
327060,45.9667,19.3333,"","Ђурић"
342096,42.75,13.95,"city","Ђулијанова"
440344,46.9363,20.8235,"city","Ђомаендрод"
160517,41.975,2.81667,"city","Ђирона"
180649,47.684,17.6351,"city","Ђер"
73853,44.4111,8.93278,"city","Ђенова"
38679,40.0667,20.1333,"","Ђирокастра"
276201,43.9008,25.9739,"city","Ђурђу"
460173,42.5308,20.1353,"landmark","Ђеравичко језеро"
217320,37.0667,14.25,"city","Ђела"
471227,37.8333,15.2833,"city","Ђардини-Наксос"
500576,40.9333,14.2,"city","Ђуљијано ин Кампања"
523497,47.4228,19.3941,"city","Ђемре"
35789,45.31,18.41,"city","Ђаково"
35791,46.04,17.07,"city","Ђурђевац (Хрватска)"
543945,48.5514,19.4183,"city","Ђетва"
926,35.1561,136.06,"country","Јапан"
927,36,128,"country","Јужна Кореја"
927,37.5833,127,"country","Јужна Кореја"
955,40.3833,44.95,"country","Јерменија"
15224,43.7,18.65,"mountain","Јахорина"
15557,-28.6167,24.3333,"country","Јужноафричка Република"
16953,-90,0,"landmark","Јужни пол"
18137,42.7758,15.4261,"waterbody","Јадранско море"
26362,38.1011,18.2947,"waterbody","Јонско море"
26592,31.7792,35.2236,"city","Јерусалим"
28791,40.18,44.512,"city","Јереван"
31559,55.7589,52.0733,"city","Јелабуга"
31811,15,48,"country","Јемен"
31896,31.0167,36.6167,"country","Јордан"
34728,48.4786,132.139,"adm1st","Јеврејска аутономна област"
78153,37.6167,24.7167,"isle","Јарос"
78996,18.45,-64.7333,"isle","Јост ван Дајк (Девичанска острва)"
80244,53.7167,19.65,"waterbody","Језиорак"
129175,48.2108,16.3481,"adm2nd","Јозефштат (Беч)"
84777,-5.26667,111.731,"waterbody","Јаванско море"
84902,39.5819,134.57,"waterbody","Јапанско море"
85867,-12.1833,34.3667,"waterbody","Језеро Малави"
86286,-1.79639,29.1608,"waterbody","Језеро Киву"
86623,1.5,33,"waterbody","Језеро Кјога"
86791,12.0167,37.2919,"waterbody","Језеро Тана"
87018,-43.9825,170.449,"isle","Јужно острво"
137904,42.1733,20.7769,"","Јабланица (Призрен)"
138099,42.9617,20.5669,"waterbody","Језеро Газиводе"
140658,46.0075,9.265,"waterbody","Језеро Комо"
141188,3.86667,11.5167,"city","Јаунде"
93449,60.6756,17.1458,"city","Јевле"
150270,43.5333,16.4833,"river","Јадро"
95988,33.4681,91.1958,"waterbody","Јангцекјанг"
151252,33.1167,137.067,"waterbody","Јапански носач авиона Шинано"
153194,-60.6819,-45.1861,"isle","Јужна Оркнијска острва"
153418,12.0833,138.2,"landmark","Јапански носач авиона Таихо"
158620,46.3667,13.8167,"","Јаловец"
108342,44.9721,-110.693,"landmark","Јелоустоун"
110365,7.60806,38.6022,"waterbody","Језеро Абаја"
165344,55.6296,9.20105,"isle","Јитланд"
166081,62.1667,129.833,"city","Јакутск"
166566,12.1883,113.226,"waterbody","Јужно кинеско море"
179267,44.3775,20.7258,"","Јагњило (Младеновац)"
254112,44.5336,18.5517,"","Језеро Бистарац"
256902,44.5794,18.9583,"","Језеро Снијежница"
185834,-9.03306,159.55,"landmark","Јапанска тешка крстарица Фурутака"
260551,53.4167,12.6833,"waterbody","Језеро Мириц"
260625,42.1606,-81.2731,"waterbody","Језеро Ири"
