id,lat,lng,"type","title"
348026,17.5369,106.151,"","Hang Sơn Đoòng"
774254,18.4,226,"mountain","Olympus Mons"
321592,20.5,100.8,"","Động đất Lào 2007"
321697,-38.4,175.717,"isle","Đảo Bắc (New Zealand)"
321831,-43.9833,170.45,"isle","Đảo Nam (New Zealand)"
328460,41.767,-1.967,"","Ólvega"
341640,42.423,13.395,"event","Động đất L'Aquila 2009"
345733,49.9378,2.78778,"city","Éclusier-Vaux"
345737,50.0731,1.87306,"city","Épagne-Épagnette"
345738,49.9128,1.85361,"city","Épaumesnil"
346220,50.0083,3.12944,"city","Épehy"
346221,49.7967,1.95778,"city","Éplessier"
346223,50.1133,2.15583,"city","Épécamps"
346224,49.8236,2.93194,"city","Épénancourt"
346225,50.0367,3.01944,"city","Équancourt"
346227,49.7342,1.96083,"city","Équennes-Éramecourt"
346232,50.0528,1.88361,"city","Érondelle"
346241,49.6622,2.61972,"city","Ételfay"
346242,49.8917,2.92583,"city","Éterpigny, Somme"
346243,49.9286,2.69083,"city","Étinehem"
346244,50.035,2.98611,"city","Étricourt-Manancourt"
346245,49.9125,1.89028,"city","Étréjust"
349361,50.8436,4.38278,"landmark","Ủy ban châu Âu"
358584,35.1167,-119.65,"","Đứt gãy San Andreas"
362383,25.0419,121.503,"city","Đài Bắc"
365984,-18.0739,-48.7619,"city","Água Limpa"
366290,-15.7619,-48.2819,"city","Águas Lindas de Goiás"
366300,8.90139,112.824,"","Đá Đông"
368628,23.9706,32.8779,"","Đập Aswan"
369674,61.2333,14.0333,"adm2nd","Älvdalens (đô thị)"
369743,61.2333,14.0333,"adm2nd","Älvdalen (đô thị)"
370456,50.5667,4.18333,"city","Écaussinnes"
371438,50.5833,4.91667,"city","Éghezée"
371963,-8.25,124.75,"isle","Đảo Alor"
373478,24.7583,120.953,"","Đại học Trung Hoa"
373514,49.6833,5.6,"city","Étalle, Virton"
108608,37.45,118.467,"","Đông Dinh"
116010,-11.75,160.467,"isle","Đông Rennell"
127874,60.1167,19.9,"country","Åland"
128472,-54.4333,3.4,"","Đảo Bouvet"
128948,-10.4833,105.633,"","Đảo Christmas"
132700,-29.0333,167.95,"","Đảo Norfolk"
135735,54.15,-4.48333,"country","Đảo Man"
138571,51.0125,1.50408,"","Đường hầm eo biển Manche"
138571,51.0971,1.15583,"","Folkestone end of tunnel"
138571,50.9228,1.7806,"","Coquelles end of tunnel"
141215,-53.1,73.5167,"","Đảo Heard và quần đảo McDonald"
141215,-53.0389,72.6011,"","Đảo Heard và quần đảo McDonald"
141263,-33.8878,151.187,"landmark","Đại học Sydney"
146203,-7.93333,-14.3667,"","Đảo Ascension"
172877,26.1833,103.067,"city","Đông Xuyên, Côn Minh"
173338,35.0667,109.083,"","Đồng Xuyên"
173667,27.7167,109.183,"","Đồng Nhân"
186638,48.8667,2.30611,"","Đại lộ Montaigne"
186668,48.8517,2.35639,"","Île Saint-Louis"
187242,37.4297,21.9003,"landmark","Đền thờ Apollo ở Bassae"
188648,5.51889,-87.0717,"","Đảo Cocos"
193904,31.25,115,"mountain","Đại Biệt Sơn"
199584,52.2667,20.9833,"city","Żoliborz"
201577,-45.8494,170.535,"landmark","Đường Baldwin, Dunedin"
3134,-27.15,-109.417,"landmark","Đảo Phục Sinh"
3134,27.15,109.45,"","Đảo Phục Sinh"
12646,30.83,111.01,"landmark","Đập Tam Hiệp"
18746,48.805,2.23111,"","Đài thiên văn Paris"
19007,17.4833,106.6,"city","Đồng Hới"
28157,22.7,46.7167,"country","Ả Rập Saudi"
32753,48.8697,2.3075,"","Đại lộ Champs-Élysées"
36002,-8.56667,125.567,"country","Đông Timor"
42205,31.5,34.75,"","Địa lý Israel"
57895,55.7028,37.5306,"landmark","Đại học Quốc gia Moskva"
61596,41.8902,12.4923,"landmark","Đấu trường La Mã"
63194,24.8006,102.671,"","Điền Trì"
63621,39.0333,121.767,"","Đại Liên"
77289,40.1183,124.374,"city","Đan Đông"
78891,36,138,"isle","Đảo Honshu"
83141,25.251,121.604,"","Đặng Lệ Quân"
88935,11.5761,104.897,"landmark","Đại học quốc tế, Campuchia"
90464,28,3,"country","Địa lý Algérie"
91852,53.5669,9.98389,"landmark","Đại học Hamburg"
91883,13.9649,100.586,"landmark","Đại học Rangsit"
92582,13.755,100.49,"landmark","Đại học Mahachulalongkornrajavidyalaya"
93398,24.9689,121.192,"landmark","Đại học quốc lập Trung ương"
93743,-34.5997,-58.3731,"landmark","Đại học Buenos Aires"
94055,39.9897,116.305,"landmark","Đại học Bắc Kinh"
94106,48.8467,2.34028,"","Đại lộ Saint-Michel"
94158,48.8547,2.34583,"","Île de la Cité"
96389,48.8664,2.33444,"","Đại lộ Opéra"
97337,48.5214,2.19,"","Điện Élysée"
98430,-0.378333,-160.017,"isle","Đảo Jarvis"
98445,0.195,-176.478,"isle","Đảo Baker"
98473,0.808333,-176.617,"isle","Đảo Howland"
98643,16.75,-169.517,"isle","Đảo Johnston"
98643,16.737,-169.524,"","Đảo Johnston"
98903,6.4,-162.4,"isle","Đảo đá Kingman"
99026,28.2167,-177.367,"isle","Đảo san hô Midway"
99172,18.4,-75.0167,"isle","Đảo Navassa"
99450,5.88333,-162.083,"","Đảo san hô Palmyra"
99485,19.3,166.633,"isle","Đảo Wake"
23318,53,-7,"country","Đảo Ireland"
151799,40.25,-111.65,"edu","Đại học Brigham Young"
172838,25.7,100.15,"city","Đại Lý (châu tự trị)"
201051,50.6583,14.0417,"settlement","Ústí nad Labem"
72283,37.2417,131.867,"landmark","Đảo Liancourt"
72283,37.2419,131.865,"","West Islet"
72283,37.2408,131.869,"","East Islet"
59446,11.061,106.526,"landmark","Địa đạo Củ Chi"
166323,39.6,118.167,"city","Đường Sơn"
14921,55.7167,12.5667,"country","Đan Mạch"
118650,-4.517,101.382,"","Động đất Sumatra tháng 9 năm 2007"
61734,21.5464,107.97,"city","Đông Hưng (Quảng Tây)"
386102,79.5,76.9833,"isle","Đảo Vize"
386435,80.8,79.4833,"isle","Đảo Ushakov"
269120,41.6081,1.64194,"","Òdena"
269834,57.1,9.5,"","Đảo Nørrejysk"
6323,28.5667,77.2,"country","Ấn Độ"
271052,54.8833,10.3333,"isle","Ærø"
271293,36.9,-3.41667,"","Órgiva"
272520,38.0167,-3.38333,"","Úbeda"
212312,16.4681,107.576,"","Điện Phụng Tiên"
214421,72.6003,-98.5356,"landmark","Đảo Prince of Wales (Nunavut)"
214643,54.9833,12.3167,"isle","Đảo Møn"
227681,7.43333,151.85,"isle","Đảo Moen"
230079,22.1833,112.3,"city","Ân Bình"
230710,62.4667,6.18333,"adm2nd","Ålesund"
230717,62.4667,6.88333,"adm2nd","Ørskog"
231062,62.2167,6.31667,"adm2nd","Ørsta"
231389,59.65,10.7833,"adm2nd","Ås"
232346,42.8445,-2.76033,"adm2nd","Álava"
232399,37.4,-1.58333,"city","Águilas"
232875,40.5833,-5,"adm2nd","Ávila (tỉnh)"
232876,40.65,-4.7,"city","Ávila"
233447,38.5,115,"city","Định Châu"
243669,48.8608,2.33222,"","École du Louvre"
244510,48.845,2.35278,"","Đấu trường Lutetia"
97759,23.0333,113.717,"","Đông Hoản"
255497,58.2,16,"","Åtvidaberg (đô thị)"
255604,56.4564,-132.378,"isle","Đảo Wrangell"
256115,71.2333,-179.417,"isle","Đảo Wrangel"
258571,40.5644,34.6639,"adm1st","Çorum (tỉnh)"
258572,40.7356,33.3661,"adm1st","Çankırı (tỉnh)"
258573,40.0408,26.5603,"adm1st","Çanakkale (tỉnh)"
258715,38.4844,27.1406,"adm1st","İzmir (tỉnh)"
258844,37.4494,42.5744,"adm1st","Şırnak (tỉnh)"
252486,60.6,4.81667,"adm2nd","Øygarden"
252683,59.7667,9.83333,"adm2nd","Øvre Eiker"
252708,60.6667,8.56667,"adm2nd","Ål"
254623,68.8833,15.1833,"adm2nd","Øksnes"
398276,50.3419,6.75861,"city","Üxheim"
398278,50.1531,6.80333,"city","Üdersdorf"
398794,54.0167,14.05,"city","Ückeritz"
279698,-22.9408,-49.3419,"city","Óleo"
400309,50.7387,7.60455,"city","Ölsen"
287446,48.9564,1.81611,"city","Épône"
307901,63.1736,14.6522,"","Östersund (đô thị)"
308316,50.4875,4.1758,"landmark","Âu tàu của Canal du Centre"
308316,50.4826,4.1423,"landmark","Âu tàu của Canal du Centre"
308316,50.4813,4.1373,"landmark","Âu tàu của Canal du Centre"
308316,50.4714,4.0945,"landmark","Âu tàu của Canal du Centre"
308664,62.6042,25.7264,"city","Äänekoski"
308771,51.0542,13.8181,"landmark","Đường xe lửa treo Dresden"
309793,35,105,"country","Địa lí Trung Quốc"
403623,49.9822,7.00528,"city","Ürzig"
403799,50.0017,6.14833,"city","Übereisenbach"
403803,50.1361,6.25306,"city","Üttfeld"
405856,25.99,85.13,"city","Đại hội kết tập kinh điển Phật giáo lần thứ hai"
406161,-33.7753,151.114,"landmark","Đại học Macquarie"
408323,47.8167,12.4667,"city","Übersee"
408454,50.0833,10.2667,"city","Üchtelhausen"
408666,33.6278,130.423,"","Đại học Kyushu"
408695,43.0747,141.341,"","Đại học Hokkaido"
305742,21.775,104.272,"","Đèo Khau Phạ"
229729,23.1478,111.782,"","Đức Khánh"
251342,23.0664,112.006,"","Úc Nam"
213392,24.7792,141.32,"isle","Đảo Iō"
307117,52.5214,13.3956,"landmark","Đảo bảo tàng"
415630,50.9197,6.11944,"city","Übach-Palenberg"
415706,50.723,-3.5323,"","Đường phố Nghị viện"
415769,34.5,109.3,"","Động đất Thiểm Tây 1556"
416507,-15.558,-172.073,"","Động đất Samoa 2009"
419600,30,122,"","Đảo Chu San"
421675,47.7194,8.31806,"city","Ühlingen-Birkendorf"
421751,41.1932,140.152,"","Đường hầm Seikan"
424588,34.362,135.031,"","Động đất Kobe 1995"
428131,14.0408,99.5031,"landmark","Đường sắt Miến Điện"
416634,-1.397,99.9,"","Động đất Tây Sumatra 2009"
448908,55.808,37.503,"","Đại học Hàng không Moskva"
452155,18.4514,-72.4452,"","Động đất Haiti 2010"
316701,-0.51,132.783,"","Động đất Papua 2009"
452878,18.42,-72.79,"","Động đất Port-au-Prince 1770"
28414,16.476,107.583,"","Đường phượng bay"
37332,23.3912,105.324,"","Địa lý Việt Nam"
37332,8.56203,104.836,"","Địa lý Việt Nam"
37332,22.3977,102.143,"","Địa lý Việt Nam"
37332,23.3624,105.296,"","Địa lý Việt Nam"
417487,34.7,139.8,"event","Động đất Nguyên Lộc 1703"
460587,-8.912,157.307,"","Động đất Quần đảo Solomon 2010"
741,52.5167,13.4,"country","Đức"
467258,30.2833,109.483,"city","Ân Thi (châu tự trị)"
467821,-35.846,-72.719,"","Động đất Chile 2010"
469609,47.2264,15.2347,"city","Übelbach"
